Agent_ID,Sales_Closed,Total_Commission,Average_Commission_per_Sale,Region,Commission_Date
106,24,2902,100,East,2024-03-18
119,21,2209,100,East,2024-04-10
114,18,2474,100,West,2024-05-25
110,19,2417,100,South,2024-05-21
107,21,2346,100,East,2024-05-07
106,26,2528,100,East,2024-02-27
118,15,2639,100,North,2024-03-16
110,16,2938,100,North,2024-05-29
110,23,2954,100,South,2024-02-05
103,22,2875,100,East,2024-01-22
107,17,2762,100,East,2024-05-06
102,19,2178,100,North,2024-03-20
101,18,2181,100,East,2024-04-09
111,27,2663,100,West,2024-04-05
105,11,2024,100,North,2024-05-27
101,14,2966,100,South,2024-01-18
100,14,2179,100,North,2024-02-07
111,15,2709,100,East,2024-05-30
111,28,2500,100,South,2024-04-18
116,17,2855,100,North,2024-05-02
109,25,2160,100,West,2024-05-23
115,22,2176,100,West,2024-05-28
114,10,2284,100,North,2024-04-13
114,29,2062,100,West,2024-05-19
118,26,2661,100,West,2024-05-23
111,16,2665,100,West,2024-03-21
119,22,2155,100,South,2024-03-27
102,13,2881,100,West,2024-05-21
104,13,2468,100,West,2024-03-01
118,15,2048,100,West,2024-02-15
106,28,2966,100,South,2024-02-01
108,21,2848,100,North,2024-01-15
106,16,2083,100,East,2024-02-13
117,19,2360,100,West,2024-05-24
103,28,2688,100,North,2024-02-23
113,16,2147,100,West,2024-02-13
117,12,2629,100,South,2024-04-07
108,22,2341,100,North,2024-01-05
101,22,2475,100,South,2024-04-18
119,27,2062,100,West,2024-01-27
114,29,2700,100,West,2024-04-25
106,17,2359,100,South,2024-03-27
111,18,2560,100,East,2024-04-13
107,16,2326,100,South,2024-05-02
114,10,2768,100,West,2024-03-19
102,12,2735,100,South,2024-02-12
113,22,2140,100,East,2024-04-06
116,26,2989,100,South,2024-01-31
103,10,2214,100,East,2024-04-08
117,15,2434,100,East,2024-01-17
107,15,2890,100,South,2024-03-23
103,21,2951,100,South,2024-04-19
101,22,2722,100,North,2024-02-01
105,22,2317,100,West,2024-05-20
109,24,2031,100,East,2024-02-04
103,25,2669,100,North,2024-05-12
117,20,2284,100,South,2024-01-29
111,14,2304,100,West,2024-03-10
101,13,2428,100,North,2024-04-04
109,12,2476,100,East,2024-01-22
103,28,2285,100,North,2024-03-09
113,29,2143,100,East,2024-03-29
115,27,2423,100,South,2024-03-12
114,24,2018,100,West,2024-05-08
107,18,2017,100,West,2024-03-27
113,26,2768,100,West,2024-04-05
107,23,2589,100,South,2024-03-15
115,24,2370,100,East,2024-02-23
112,10,2174,100,South,2024-03-28
117,12,2193,100,West,2024-02-23
114,25,2501,100,South,2024-01-16
112,20,2987,100,South,2024-04-08
108,21,2112,100,South,2024-01-20
114,19,2113,100,East,2024-02-15
112,25,2221,100,North,2024-05-06
100,17,2677,100,North,2024-02-27
106,15,2946,100,South,2024-04-20
108,21,2830,100,North,2024-05-08
100,17,2643,100,North,2024-03-21
111,13,2896,100,South,2024-03-24
107,17,2263,100,South,2024-03-10
110,27,2924,100,West,2024-01-08
118,14,2054,100,North,2024-01-29
116,18,2870,100,East,2024-04-21
107,13,2642,100,South,2024-05-10
102,26,2799,100,West,2024-04-17
102,18,2777,100,East,2024-04-18
100,10,2457,100,North,2024-01-20
104,29,2978,100,West,2024-03-13
109,22,2877,100,South,2024-01-04
106,25,2161,100,East,2024-01-19
108,22,2379,100,South,2024-04-11
106,23,2992,100,North,2024-05-20
108,12,2086,100,East,2024-05-20
107,15,2054,100,North,2024-03-26
111,27,2475,100,North,2024-02-21
101,28,2799,100,West,2024-04-20
100,14,2177,100,South,2024-04-18
115,24,2390,100,East,2024-03-26
104,11,2348,100,North,2024-02-12
102,19,2007,100,North,2024-02-11
111,27,2832,100,East,2024-03-30
107,22,2312,100,North,2024-04-24
102,14,2758,100,West,2024-01-26
100,10,2834,100,West,2024-05-30
102,10,2983,100,West,2024-02-12
104,27,2982,100,West,2024-03-17
114,24,2442,100,North,2024-05-16
113,26,2766,100,East,2024-01-20
102,20,2327,100,East,2024-02-08
100,26,2053,100,East,2024-01-12
104,22,2760,100,East,2024-01-11
113,10,2238,100,South,2024-02-11
106,11,2228,100,East,2024-01-11
108,18,2578,100,South,2024-02-07
114,12,2050,100,South,2024-04-07
114,10,2608,100,West,2024-01-19
109,25,2603,100,South,2024-05-13
112,15,2263,100,North,2024-04-25
118,26,2417,100,South,2024-04-22
106,14,2802,100,West,2024-03-05
116,14,2095,100,South,2024-04-08
119,15,2087,100,North,2024-03-12
103,12,2077,100,North,2024-02-21
104,14,2287,100,North,2024-04-27
106,14,2119,100,West,2024-04-29
112,19,2813,100,West,2024-01-07
114,19,2490,100,East,2024-01-11
110,28,2911,100,West,2024-04-12
103,26,2451,100,North,2024-03-01
112,23,2499,100,North,2024-03-08
106,18,2164,100,West,2024-05-19
118,23,2181,100,South,2024-04-11
101,10,2468,100,West,2024-04-19
109,28,2909,100,West,2024-05-19
112,22,2734,100,North,2024-02-20
105,22,2822,100,East,2024-04-26
111,13,2943,100,North,2024-02-15
111,10,2977,100,East,2024-02-22
119,26,2006,100,North,2024-03-28
110,17,2329,100,West,2024-04-30
106,11,2774,100,North,2024-01-13
100,17,2672,100,North,2024-03-29
100,16,2150,100,North,2024-05-04
119,11,2084,100,West,2024-04-27
112,12,2146,100,West,2024-02-23
108,27,2623,100,West,2024-04-25
102,21,2380,100,West,2024-04-27
106,10,2914,100,East,2024-01-04
105,21,2547,100,East,2024-03-15
107,14,2284,100,South,2024-02-18
108,26,2699,100,West,2024-01-07
104,25,2081,100,East,2024-04-19
100,24,2513,100,North,2024-05-01
118,24,2896,100,West,2024-01-11
109,14,2814,100,South,2024-04-01
111,23,2708,100,South,2024-01-23
114,11,2915,100,South,2024-01-28
108,20,2522,100,North,2024-04-20
119,28,2745,100,East,2024-02-26
116,16,2385,100,North,2024-01-26
116,15,2706,100,West,2024-02-23
119,11,2470,100,South,2024-01-29
111,15,2118,100,North,2024-04-06
106,27,2395,100,North,2024-01-14
101,11,2531,100,East,2024-03-18
102,27,2260,100,East,2024-02-04
116,24,2804,100,South,2024-01-30
104,28,2933,100,North,2024-04-01
116,11,2255,100,North,2024-01-17
116,29,2733,100,East,2024-04-02
116,15,2904,100,North,2024-03-19
101,10,2225,100,North,2024-04-19
101,24,2052,100,North,2024-04-11
104,19,2939,100,East,2024-04-15
100,28,2866,100,South,2024-02-16
100,26,2499,100,West,2024-03-04
118,14,2505,100,South,2024-03-04
101,13,2853,100,West,2024-03-27
111,19,2363,100,North,2024-01-07
105,26,2279,100,South,2024-01-22
103,19,2592,100,West,2024-03-21
110,26,2713,100,East,2024-03-14
116,29,2157,100,East,2024-05-17
105,14,2631,100,South,2024-05-14
104,11,2058,100,South,2024-05-04
119,15,2726,100,North,2024-02-19
101,11,2127,100,South,2024-02-21
105,22,2735,100,North,2024-01-01
110,20,2720,100,North,2024-01-04
115,20,2881,100,East,2024-05-24
115,25,2114,100,East,2024-05-11
100,20,2208,100,West,2024-01-04
108,28,2525,100,East,2024-01-01
105,24,2520,100,East,2024-03-11
115,25,2551,100,South,2024-02-04
102,20,2961,100,East,2024-01-08
119,25,2236,100,West,2024-02-05
103,17,2280,100,South,2024-05-02
118,13,2358,100,West,2024-02-12
102,17,2200,100,East,2024-01-27
118,13,2757,100,West,2024-02-01
119,12,2277,100,South,2024-03-18
106,12,2234,100,North,2024-04-30
119,27,2493,100,West,2024-05-25
108,28,2003,100,West,2024-01-16
100,28,2665,100,South,2024-04-08
107,14,2441,100,South,2024-02-16
106,27,2028,100,West,2024-01-31
117,19,2108,100,East,2024-01-04
107,15,2609,100,West,2024-01-17
100,10,2726,100,South,2024-02-08
110,14,2804,100,North,2024-02-17
117,18,2074,100,North,2024-02-08
109,21,2837,100,East,2024-05-11
102,23,2145,100,West,2024-01-30
106,11,2127,100,North,2024-01-22
115,26,2852,100,West,2024-03-06
115,23,2041,100,South,2024-04-17
119,22,2355,100,North,2024-01-12
116,18,2040,100,East,2024-02-05
101,24,2933,100,South,2024-01-18
100,24,2033,100,East,2024-03-30
115,20,2016,100,South,2024-01-01
111,25,2676,100,North,2024-05-06
104,26,2152,100,East,2024-03-30
104,13,2997,100,East,2024-03-27
108,10,2377,100,South,2024-03-30
108,17,2587,100,East,2024-05-13
102,26,2598,100,South,2024-03-10
118,12,2628,100,South,2024-02-13
115,29,2873,100,South,2024-03-26
115,24,2341,100,South,2024-01-19
102,24,2980,100,North,2024-04-10
119,23,2026,100,South,2024-05-25
100,23,2824,100,West,2024-04-04
119,11,2286,100,East,2024-04-10
110,22,2645,100,West,2024-01-30
116,23,2730,100,North,2024-02-02
107,28,2167,100,West,2024-01-12
103,16,2609,100,East,2024-04-27
105,12,2267,100,West,2024-04-03
107,24,2748,100,North,2024-05-16
119,23,2820,100,South,2024-05-28
102,20,2454,100,West,2024-03-16
115,24,2905,100,North,2024-01-29
102,22,2684,100,North,2024-04-26
117,27,2400,100,East,2024-01-15
113,15,2921,100,East,2024-01-02
117,12,2980,100,West,2024-04-26
101,28,2475,100,South,2024-01-18
102,24,2701,100,North,2024-01-03
115,14,2633,100,West,2024-05-14
108,19,2557,100,North,2024-04-17
103,16,2575,100,North,2024-04-04
100,26,2129,100,South,2024-05-01
103,16,2821,100,South,2024-01-11
100,21,2362,100,West,2024-03-08
113,26,2704,100,South,2024-05-02
115,22,2818,100,South,2024-04-22
119,29,2692,100,West,2024-04-07
107,13,2291,100,South,2024-04-02
106,19,2370,100,East,2024-01-22
102,12,2793,100,North,2024-05-06
116,18,2028,100,North,2024-05-13
100,22,2148,100,North,2024-01-25
115,27,2778,100,North,2024-03-25
111,24,2295,100,West,2024-02-24
118,13,2010,100,North,2024-05-23
113,24,2511,100,North,2024-04-04
105,11,2675,100,North,2024-05-21
105,24,2112,100,North,2024-04-28
112,17,2186,100,East,2024-01-09
118,17,2806,100,North,2024-05-29
107,26,2743,100,East,2024-02-11
101,21,2226,100,West,2024-02-22
100,28,2309,100,South,2024-03-14
114,19,2097,100,North,2024-02-08
100,18,2054,100,South,2024-05-01
104,14,2622,100,South,2024-01-15
115,15,2663,100,West,2024-05-02
118,29,2757,100,South,2024-04-20
103,11,2405,100,East,2024-05-10
102,22,2068,100,South,2024-03-23
116,15,2311,100,South,2024-01-10
116,14,2288,100,South,2024-04-01
111,10,2761,100,North,2024-01-29
113,15,2547,100,North,2024-02-04
105,15,2750,100,East,2024-01-06
102,25,2147,100,East,2024-05-19
108,13,2466,100,North,2024-04-20
104,20,2738,100,East,2024-02-07
116,18,2243,100,North,2024-03-17
113,12,2490,100,West,2024-04-02
102,28,2848,100,South,2024-05-26
100,17,2957,100,South,2024-03-07
119,14,2506,100,East,2024-05-15
100,13,2364,100,North,2024-01-08
102,15,2481,100,North,2024-05-01
117,11,2200,100,East,2024-03-24
109,29,2153,100,North,2024-05-11
102,20,2449,100,West,2024-03-25
107,13,2500,100,South,2024-02-14
113,24,2072,100,East,2024-05-15
117,15,2712,100,East,2024-03-27
114,26,2295,100,North,2024-01-16
101,15,2016,100,East,2024-03-17
109,28,2640,100,West,2024-01-09
101,11,2216,100,North,2024-02-29
116,24,2060,100,North,2024-03-18
107,20,2938,100,North,2024-03-17
100,17,2615,100,North,2024-03-11
108,28,2041,100,West,2024-01-15
110,22,2024,100,North,2024-03-11
115,21,2038,100,East,2024-04-11
106,14,2802,100,West,2024-01-22
109,15,2130,100,South,2024-04-22
102,13,2497,100,South,2024-01-01
117,28,2228,100,East,2024-01-10
112,29,2107,100,East,2024-04-19
106,10,2171,100,West,2024-04-22
103,29,2434,100,South,2024-02-19
112,26,2477,100,South,2024-01-12
119,21,2101,100,South,2024-03-29
100,24,2865,100,South,2024-04-21
107,10,2523,100,South,2024-03-18
113,23,2274,100,North,2024-04-30
115,15,2612,100,East,2024-01-23
113,14,2043,100,North,2024-05-13
111,20,2954,100,South,2024-01-25
118,13,2816,100,West,2024-01-18
114,22,2956,100,West,2024-05-20
101,20,2016,100,South,2024-02-12
101,12,2329,100,South,2024-03-18
118,10,2568,100,West,2024-01-28
